"Feature","Feature.Systematic.Name","t7.8","t10.7","t14","t17.8","t22","t26.8","t32.2","t38.4","t45.4","t53.3","t62.2","t72.3","p7.8","p10.7","p14","p17.8","p22","p26.8","p32.2","p38.4","p45.4","p53.3","p62.2","p72.3","buds"
"PET10","YKR046C",97.34364891,98.65194934,102.5794398,107.7588354,121.5343736,124.2072153,125.0727596,121.764551,122.3574339,127.6327983,135.6422797,145.6634292,200.2673456,204.3683833,205.0408339,201.9339079,190.2625307,162.2954203,139.7079702,119.7727037,119.9766757,116.5869359,110.4035026,96.30882516,27.7411764705882
"RSM23","YGL129C",20.70447335,19.93983304,19.01591633,17.93489036,16.62927667,15.14618463,14.31609691,15.56414768,16.4544027,15.0877748,11.76951238,4.977358609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.735632183908
"HIM1","YDR317W",7.463478177,7.502174665,7.632416082,7.847724699,8.532126112,8.746679272,8.826951528,8.207847689,9.900490744,10.54576066,10.36778475,8.295809107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.72
"PHO91","YNR013C",45.7482896,44.62246989,42.98710033,41.08712229,37.54189801,36.1881478,35.92959342,38.39918529,38.94286166,39.31689953,40.00895691,41.45354578,14.25236719,14.31930583,14.40032136,14.49521508,14.72869738,14.7830905,14.50396995,13.90520586,12.71138273,11.46932884,10.89149653,11.62660669,27.72
"APN2","YBL019W",10.66104842,10.50883603,10.37593366,10.25091911,10.29138833,10.05818936,9.908983435,10.24955271,9.982725505,9.634128035,9.20768822,8.763060189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.7
"SIF2","YBR103W",24.3825011,24.53280269,24.78093173,25.01594514,25.74444705,25.4137813,24.62997811,22.75941939,22.49866943,23.67770531,26.43103224,31.42072544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.7
"ACB1","YGR037C",464.0150731,464.4969877,471.352799,479.1160427,514.7234777,500.4264798,469.796822,403.1956994,383.7065729,375.0037296,372.9860937,368.3048863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.6888888888889
"ELP4","YPL101W",44.68034787,45.68517768,46.85010974,48.09436351,49.79047053,50.71555607,51.03744897,49.76915257,50.50491336,51.54394147,52.99846577,54.95509201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.6860465116279
"MNN11","YJL183W",63.76777251,64.55892071,65.49691465,66.53978283,68.03852194,68.96948994,69.26338974,67.72385409,68.12268394,70.05668502,73.67958821,79.94344681,12.11161239,12.13259276,12.30472754,12.68257168,13.46910138,14.43657779,15.89302049,17.08562106,16.5231394,16.05298066,15.39862721,14.70441111,27.6666666666667
"RRD1","YIL153W",27.61776579,26.66620631,25.79827038,25.22606132,24.88309186,25.42309931,28.2073763,37.3628971,41.83697434,42.43551054,39.35557822,30.48024544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.6627906976744
