"Feature","Sum","dev","t7.8","t10.7","t14","t17.8","t22","t26.8","t32.2","t38.4","t45.4","t53.3","t62.2","t72.3"
"PEX25",1.61447651675754,-0.00430576717961998,-0.257432689351362,-0.0844490691505993,0.0555816196391566,0.134485550109384,0.0264221300131414,0.0490598077234588,-0.0740684934644829,-0.292614436707608,-0.293973603400078,-0.221475440988151,-0.124913676210116,0
"RNA1",4.47715161160094,-0.00380704591170836,0.457907215594777,0.282034601918688,0.0835798529259348,-0.154774883989913,-0.422364616532308,-0.562835809275655,-0.564675718980086,-0.776082483335938,-0.314070786860565,0.196290522523614,0.473978245742082,0.188556873921378
"YME1",6.92932683894162,0.00646070723578198,-0.794497659833612,-0.603159761594924,-0.368561903453148,-0.038855369330777,0.483039434730235,0.566766058473088,0.73466819455542,0.975201582320382,0.967170469720687,0.741273775418053,0.316206957313866,-0.339925672197432
"KRE6",4.36419021262957,0.0130566292056879,-0.604109269029763,-0.492753140052431,-0.383352928060535,-0.245302801826743,-0.116647579421842,-0.0412172164702878,0.100616465291367,0.398513598507532,0.689154477872403,0.739649170354726,0.55287356574194,0
"CCT6",1.88867462469918,0.00130075795631356,0.219550665296592,-0.00284212978002107,-0.186278206316798,-0.329667306139074,-0.316173477850066,-0.035534083970572,0.0779718190930324,0.184765918153905,-0.0392477987285373,-0.046801648840296,0.0603633272517165,0.389478243278568
"OTU1",4.0256655412448,-0.00284976639358761,0.305039082504531,0.0793243888573664,-0.140228365203388,-0.369346382350551,-0.564411786650189,-0.554185067766459,-0.436705903345385,-0.136050393298784,-0.437062628576449,-0.538576093543403,-0.46473544914829,0
"PRE10",1.94371355348407,-0.00306609720004165,0,-0.00755363987185287,0.0234399878546675,0.134102869109415,0.429896910948678,0.485175854362336,0.314698801117701,0.210544664571639,0.0282852386381622,0.0529122067919908,-0.0117713770004108,-0.245332003217217
"ERG13",1.84511022003982,0.00660444857575264,0,0.0823518674214267,0.163967135874323,0.236680711069533,0.334578505571196,0.270439255376102,0.0827131640852,-0.176259854745527,0.0341866513235478,0.138192370579646,0.114108991787571,-0.211631712205744
"NUP85",2.64941972863066,-0.00510806253226683,0.131551738589105,-0.0301702985768084,-0.178937622488611,-0.259060189842866,-0.285773177980435,0.108425177104259,0.385967202036157,0.443529819089567,0.361660943378628,0.295852159863042,0.168491399681184,0
"CPR5",3.32316747409236,-0.00581937217657261,0.219865037687694,0.223366891030378,0.244147603875902,0.285775737318291,0.400199646303881,0.347396758686768,0.193110400412256,0.000727607600708946,-0.443016536830285,-0.531709027054185,-0.433852227292015,0
