"Feature","Sum","dev","t7.8","t10.7","t14","t17.8","t22","t26.8","t32.2","t38.4","t45.4","t53.3","t62.2","t72.3","RLS","buds"
"ENO1",6.28134897578831,0.000756029012693188,1,0.838403207217127,0.665924979150168,0.470253014274942,0.211961982540341,0.185708606378225,0.246012128002859,0.518433025643327,0.0312333762422756,-0.424361288938249,-0.790860111623989,-0.898197255776811,"10,5,4,9,11,11,14,9,13,11,14,26,10,23,14,14,28,10,23,16,15,29,11,23,18,16,11,26,20,16,11,28,22,16,14,31,24,17,14,31,29,19,16,31,31,19,16,32,33,19,18,33,34,19,19,37,36,23,20,38,38,23,22,39,44,24,23,40,44,24,23,40,45,25,24,42,50,25,24,46,50,25,25,49,55,26,2",23.9885057471264
"PAM17",1.58332263910971,-0.0107728786245467,-0.112424399212698,-0.164741950423186,-0.164505564441049,-0.121218639266296,0.170165915501667,0.131638623631456,-0.0315779119371944,-0.224248061091393,-0.264060058874707,-0.134250808287447,0,0.0644907064426235,"26,25,25,35,28,19,33,33,12,23,24,25,6,31,39,27,26,16,12,26,26,25,25,35,28,19,33,33,12,23,24,25,6,31,39,27,26,16,12,26,18,25,31,7,13",23.9111111111111
"FCY2",5.73873182083751,-0.00688454141403168,0.856606912708609,0.834221671581383,0.772408905934631,0.664175425815357,0.405808915734446,0.416207795900857,0.0425406509652843,-0.288716511384622,0.0265225752183822,0.314068085456938,0.117454370137004,-1,"9,4,10,5,12,10,14,12,15,14,15,14,15,14,16,15,18,15,18,16,19,17,20,17,20,19,20,21,22,21,22,22,23,22,23,22,23,22,23,23,23,23,26,24,26,25,27,26,27,26,27,27,28,28,29,29,29,29,30,29,30,30,30,30,30,31,30,31,31,32,31,33,31,33,31,33,32,33,33,33,33,34,34,34,34,34,",23.8488372093023
"ADD66",4.55341971501247,0.00382097467748669,0.692044992140357,0.632444974490077,0.567273518723705,0.53568710030246,0.5458689185084,0.301842042315331,0.0322075478495055,0,-0.285725207449679,-0.246635249964894,-0.267013208245451,-0.446676955022604,"39,19,20,19,22",23.8
"ADE8",0.952080309664335,-0.0110607638432211,-0.138802967886518,-0.138385951795998,-0.104445498934579,-0.0788319376587837,0.046560466633972,0,-0.0208456321914866,-0.189705625751745,-0.155086589156543,-0.0358719257399547,0.0429618951745165,-0.000581818740238276,"24,37,21,20,17",23.8
"AIM7",5.71735125191441,-0.000509401429856207,0.135401327684944,-0.0402553322839001,-0.209322378268874,-0.364255187333493,-0.504572001662091,-0.418366563646515,-0.581082420667219,-0.595131673075053,-0.972956579314181,-0.851022116389579,-0.380196981628306,0.66478868996025,"31,22,20,25,15,20,30,22,21,32",23.8
"FSH1",6.40997189432554,0.0014291509521968,-1,-0.832384111707122,-0.655430438244064,-0.43296234795782,-0.176083785767141,-0.0339579845465897,0.0953982459343351,0.279041505368743,0.824032150918011,1,0.880908562240927,0.199772761640789,"35,19,24,19,22",23.8
"GTB1",7.51334925643191,-0.00550749382552297,0.833988150122392,0.721158664379363,0.610659117503342,0.527299591315481,0.427222238780647,0.547230630516864,0.752112471152496,0.966085671664739,0.45146673831166,-0.0686781956958953,-0.60744778698903,-1,"27,17,35,21,19",23.8
"LSM1",5.70092980695339,0.00171358285139042,0.662680900662379,0.724652513818891,0.792801658027066,0.841297130861383,0.971496569063763,0.769117432023485,0.5067827903447,-0.101381681646937,-0.102730077613833,-0.0287934793485263,-0.00656159228932818,-0.192633981253097,"15,34,17,20,33",23.8
"SAM2",8.04947879419793,0.00227681206091114,0.971963493014376,0.957439199399472,0.915178537062057,0.853413929449029,0.777772272842414,0.52054093915878,0.48988577682843,0.420481530510339,0.572199053344867,0.501014450667515,0.0695896119206491,-1,"20,20,31,26,28,56,35,9,13,34,20,16,18,13,18",23.8
"YJU3",6.6965023592379,0.00333794689724431,-0.884576000422393,-0.943419604088012,-0.935351112784632,-0.879902725287065,-0.618307890787715,-0.363027263920734,-0.125511877653416,0.222096978568723,0.32979525364164,0.427292032639494,0.489827404446234,0.477394214997846,"19,21,29,21,29",23.8
"DPB4",5.49206117395959,-0.00245822121808834,-0.173373889588367,-0.0101401791530639,0.178061111295543,0.370120960576423,0.66130812165188,0.763493554995811,0.625835707808354,-0.323696552131675,-0.766459915646891,-0.819084430550634,-0.510883553971632,0.28960319658932,"32,23,19,22,18,19,20,15,24,20,25,21,16,27,29,29,21,28,9,21,18,21,20,21,16,22,14,19,20,20,14,20,22,20,26,14,21,14,20,20,19,23,17,21,49,22,33,22,38,38,18,51,16,27,34,46,26,16,33,18,46,22,11,16,31,17,23,26,28,46,15,25,21,24,25,17,18,28,19,28,44,33,30,7,29,29",23.7790697674419
"SUM1",2.6729576237738,-0.00318587628897817,0,-0.0142818500914799,-0.00671795116613325,0.0173607494600287,0.10483101373915,0.241545362198362,0.267981111731565,0.0334236987097488,-0.447875393198309,-0.538920827693133,-0.237871846845929,0.76214781893996,"25,33,28,24,23,18,29,26,14,17",23.7
"YGR054W",4.19258714561724,-0.00552971787376152,0.29073993880041,0.363648917537366,0.402780761667745,0.453080094576309,0.42907503161493,0.371528745520532,0.231596915282117,0.0481228138800722,0.224823959076732,0.0148281609335278,-0.362361806727495,-1,"28,46,9,46,11,10,19,27,23,18",23.7
"YOR131C",3.16796105129431,-0.00389662275320695,0.00196137362955773,-0.0369078568716126,-0.0663780919714304,-0.100509394888202,-0.10503494220765,-0.245600924841869,-0.176190052505309,0.140903317729421,0.443616807390639,0.633524465961899,0.333513951219725,-0.883819872077,"19,29,36,24,33,26,7,23,15,25",23.7
"IOC2",5.19813194254912,0.00325268516270214,1,0.856988158741548,0.659251573887721,0.423279970343355,0.0272079585095081,-0.302318884613241,-0.330487955499101,0.0341026715734492,0.0466998450537396,-0.0965011247591664,-0.421293799568288,-1,"46,5,21,35,33,20,20,6,24,35,18,30,24,29,31,20,35,15,13,21,25,21,17,25,23",23.68
"ANB1",2.42096762048169,-0.00879827336199787,0,0.00366740587420314,0.0143464519511912,0.0330913580334662,0.0784744688387771,0.192526461054147,0.176881338794809,0.219679639199771,0.445106836296189,0.521559875980153,0.307119055681596,-0.428514728777389,"7,21,21,44,43,23,21,25,16,21,27,14,19,29,24",23.6666666666667
"ODC2",7.05247364039378,0.00516415521785036,1,0.823445230935873,0.582711221165757,0.23673933271582,-0.335036377244052,-0.731816520053784,-1,-0.750888958411412,-0.262378452254436,0.0842664528780369,0.46037269120167,0.784818403532943,"23,16,15,10,31,33,34,20,29,33,26,29,30,20,23,43,31,21,9,13,40,14,32,9,7",23.64
"AAT2",5.28586201147202,0.00124119763993801,1,0.643368975137764,0.258023899469768,-0.192049759071917,-0.774091143742957,-0.953690114680213,-0.839379437465415,-0.0324749203928916,0.15167708227519,0.222447593307372,0.172204304095053,-0.0464547818334754,"23,28,25,25,17",23.6
"ILV6",2.64208747155903,-0.00121462798603539,0,0.0141908967745748,0.0417933986238808,0.0404737261250496,0.177787832014417,-0.39617520704395,-0.566993146485568,-0.54289005042185,-0.0135129551719444,0.355937949661821,0.471921140222646,0.0204111690133248,"21,22,34,15,26",23.6
