"Feature","buds","RLS","Sum","dev"
"RNR1",24.125,"40,19,37,40,9,47,38,27,40,32,13,46,52,52,29,24,17,38,16,4,3,3,2,5,3,6,7,10,3,4,6,11,7,4,7,2,1,4,2,39,42,29,51,52,17,32,47,42,27,44,28,37,44,12,49,23,22,35,13,19,22,26,27,55",3.33147499924256,-0.00569972830139149
"TWF1",17.4,"13,18,14,29,13",1.95647156439863,-0.00566703989257084
"TOM1",16.4090909090909,"1,6,4,9,6,9,7,10,8,10,10,11,10,11,12,12,13,12,13,13,14,13,16,13,16,13,16,13,17,14,17,14,17,15,17,15,17,15,18,16,18,16,18,16,18,16,19,16,19,16,19,17,19,17,19,18,19,18,20,18,20,18,20,18,20,21,21,21,21,21,21,21,22,21,22,21,22,21,22,21,23,22,23,22,23,22,23,22",5.22432857888532,-0.00564861456489286
"VMA2",5.375,"2,6,7,8,8,7,22,4,13,10,2,5,3,11,4,10,1,6,2,4,3,11,4,5,2,3,3,4,6,13,3,24,2,5,9,10,4,10,1,9,4,2,8,2,1,4,1,4,6,4,4,2,12,6,3,8,4,4,3,5,1,1,13,1,2,3,4,4,2,2,14,18,5,1,1,2,7,13,5,6,1,1,4,3,5,5,4,4,6,2,4,1,11,4,3,5,2,6,2,13,1,4,5,5",3.59567654286782,-0.00559236292607967
"RGD2",19.4,"21,10,30,16,20",5.60596056031171,-0.00555815282098168
"MGM1",24.5402298850575,"25,24,25,18,31,22,10,37,31,42,24,34,21,26,13,13,34,44,10,40,19,37,27,30,16,25,35,36,16,16,39,20,19,29,37,14,23,33,15,17,17,19,21,27,22,28,39,45,30,37,32,38,37,26,12,12,18,24,42,21,14,48,17,13,27,34,34,31,12,37,19,28,26,33,33,1,21,29,6,11,7,8,13,18,11,9,21",3.11004709601925,-0.00555350730287134
"SFT2",26.4444444444444,"44,16,34,25,16,30,42,39,25,23,21,30,16,36,27,4,11,15,38,15,44,16,34,25,16,30,42,39,25,23,21,30,16,36,27,4,11,15,38,15,24,24,23,47,58",5.31560164600256,-0.00554471052584428
"LYS1",19.6,"30,27,17,12,12",2.16322404079361,-0.00553069490685447
"YGR054W",23.7,"28,46,9,46,11,10,19,27,23,18",4.19258714561724,-0.00552971787376152
"SNL1",20.2,"16,22,21,25,17",1.16446688112866,-0.00550843694052631
"GTB1",23.8,"27,17,35,21,19",7.51334925643191,-0.00550749382552297
"YER156C",32.6,"31,44,13,42,33",2.30397901345121,-0.00548971637924765
"THR1",3.47619047619048,"3,1,3,4,3,3,3,8,3,3,3,4,5,4,5,4,4,3,3,3,2,3,3,2,4,3,4,2,2,3,2,3,2,3,2,4,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,15,7,36,5",4.88114904214023,-0.00548820804812341
"ISC1",13.0888888888889,"11,17,15,13,10,12,14,17,15,8,1,23,27,4,25,3,10,12,20,2,15,18,13,6,7,10,5,14,1,13,16,11,9,20,20,18,1,3,6,1,19,32,17,18,37",2.04455189566745,-0.00547122672837179
"PUB1",20.08,"36,38,47,30,29,14,13,10,22,22,19,17,17,16,24,13,12,14,8,11,15,13,17,27,18",1.56572117967716,-0.00546042649407897
"PEX11",29.6,"21,40,32,32,23",2.62167499203265,-0.00542909868562456
"TPO1",25.875,"8,17,30,16,32,5,14,13,33,25,15,2,35,10,23,9,9,11,33,34,22,36,17,28,27,24,30,25,27,16,34,37,40,48,30,42,22,48,39,33,19,29,31,25,21,34,10,35,26,27,21,40,26,27,25,32,14,6,23,27,38,20,30,18,6,11,33,39,24,21,33,28,36,32,31,26,21,31,26,22,35,31,32,41,43,35,33,4",5.99788439208925,-0.00541882982087968
"SER3",22.8,"22,16,20,37,19",7.53789711678947,-0.00538904445272417
"IMH1",25.7666666666667,"11,5,11,16,5,66,4,25,34,14,27,49,27,12,39,38,30,15,38,21,25,40,34,31,43,10,18,30,12,43",6.26281734190525,-0.00534397265797743
"YMR027W",24.8,"19,22,4,47,32,19,22,4,47,32",6.52555828999824,-0.00530091265223508
"LYS12",26.593023255814,"32,18,41,34,34,35,32,25,28,24,22,4,37,31,23,37,28,15,17,31,27,16,17,32,14,29,27,23,33,12,26,11,29,35,29,35,26,27,31,24,18,20,37,48,27,31,33,41,26,22,17,26,17,42,31,41,10,28,22,31,17,28,32,37,15,28,32,9,16,15,44,30,21,11,20,42,20,14,20,32,48,17,25,41,32,22",5.02988070136398,-0.00524091352933564
"TIF1",14.5795454545455,"3,7,4,9,5,9,7,9,9,10,10,10,10,11,11,11,12,11,12,11,12,12,13,12,13,12,13,13,13,13,14,13,14,15,14,15,14,15,14,15,14,16,15,16,15,17,15,17,15,17,15,17,15,17,15,18,16,18,16,18,16,18,16,19,16,19,16,19,16,19,17,19,17,20,17,20,17,20,18,20,18,20,18,20,18,20,18,20,",3.6527314518648,-0.00523085755225339
"MTD1",20.2,"28,30,12,27,4",1.21735900092707,-0.00521903742214248
"YDR262W",21.4,"16,34,15,18,24",1.47982804927922,-0.00520178755601421
"PDI1",24.2,"18,37,26,21,32,32,34,20,25,28,13,13,17,32,37,17,39,16,33,45,18,37,26,21,32,32,34,20,25,28,13,13,17,32,37,17,39,16,33,45,15,19,11,12,27,22,22,20,25,12,22,30,14,13,18,15,20,21,23,21",7.81363885362011,-0.00519366069752148
"YDL086W",21.6,"30,26,14,26,12",5.60679014662411,-0.00515795321342575
"ATP2",14.9894736842105,"27,39,37,34,35,29,28,25,30,21,26,30,24,30,18,17,31,46,27,15,19,20,10,10,23,11,10,14,17,8,18,9,14,4,15,25,11,13,10,13,11,15,10,11,6,10,9,17,4,11,10,25,14,17,10,13,28,9,7,18,9,6,6,10,7,19,6,6,6,1,17,6,6,4,6,11,9,4,9,13,16,2,15,1,22,6,15,8,11,9,9,18,16,5,12,",1.78751335706751,-0.00509398112572619
"CPA2",30,"29,59,35,19,38,26,33,39,32,24,31,36,27,13,23,31,12,33,44,7,23,29,32,28,30,41,17,40,36,39,21,24,34,30,11,27,29,28,27,31,18,31,18,11,26,24,14,32,18,25,25,24,29,34,35,27,24,17,24,39,50,45,43,27,38,37,38,27,42,52,29,57,29,27,11,56,56,60,65,11,17,39,18,25,15,3",2.6431132142862,-0.00508745507512425
"YCF1",28.325,"31,6,24,44,29,33,23,30,22,31,15,39,25,42,29,21,34,36,30,47,24,11,11,32,21,13,21,32,29,16,34,26,39,38,36,20,26,42,44,41,32,28,34,19,44,34,35,39,29,18,51,24,17,25,45,39,35,41,27,33,22,12,25,23,30,24,26,23,28,25,28,28,24,23,17,27,21,19,30,15",6.06093645729962,-0.00508592575528472
"IGO1",21.6,"18,23,18,22,27",2.39200181613085,-0.00508244680131356
"VPS4",26.7529411764706,"33,34,30,31,24,40,34,37,30,18,4,6,34,30,35,7,29,24,21,38,45,43,39,32,15,23,29,6,25,40,28,24,20,10,28,41,34,16,36,41,27,36,29,39,19,20,34,28,26,26,23,25,3,22,16,9,46,16,18,18,21,30,4,45,27,23,45,18,30,24,33,26,27,45,24,20,39,28,13,31,31,40,17,26,13",3.71524408275152,-0.0050818028860343
"WHI2",13.6,"16,17,4,14,17",6.03826433749715,-0.00507086427428651
"MET22",33.4,"24,30,53,49,11",4.84703488555651,-0.00501830828206444
"UBR1",21.2,"18,17,19,21,31",3.96723020830322,-0.00501299009856945
"ATP4",27.8541666666667,"23,39,35,26,11,14,17,39,36,30,35,14,33,31,34,34,37,41,11,13,3,23,25,36,30,17,17,34,44,38,39,23,27,13,28,30,23,42,17,17,22,23,14,17,49,34,42,57",3.8961420666971,-0.00499646013006958
"KEL3",26.3230769230769,"42,41,31,38,36,31,26,39,25,26,44,29,28,26,36,29,31,34,17,42,14,21,11,24,32,21,4,40,3,38,7,19,21,21,12,21,37,40,14,24,23,39,11,12,22,14,39,38,24,23,20,38,10,27,25,30,26,23,31,36,18,24,24,23,36",6.28455777100732,-0.00499639618513648
"ASN1",29.0581395348837,"11,29,42,38,36,39,13,27,28,25,42,32,37,26,26,34,22,46,35,25,21,31,32,38,33,30,23,20,13,27,20,19,31,22,37,17,31,16,22,35,38,37,32,39,27,29,34,22,35,25,18,29,43,19,27,34,22,4,36,33,38,37,32,39,27,29,34,22,35,25,18,29,43,19,27,34,22,4,36,33,38,37,32,39,27,29",6.03113201642242,-0.00496889280878603
"RAI1",35.3111111111111,"3,12,16,15,20,21,21,21,25,25,27,34,26,30,36,31,33,31,34,34,36,35,36,35,37,39,41,40,42,41,44,41,45,41,45,47,46,47,47,49,50,49,54,52,55",4.46000579276389,-0.00489359505162364
"BRE1",17.6,"14,13,15,26,16,11,20,21,22,21,16,19,25,14,17,22,11,19,6,17,15,13,11,14,22,21,20,8,21,15,27,26,26,17,19,16,20,12,24,17,12,12,28,14,16,27,17,21,15,22,15,11,10,14,20,20,17,16,19,17,11,15,20,27,19",2.39650727336875,-0.00483103967700827
"GLY1",18.6,"26,34,12,7,14",6.52091723406822,-0.00479384183811106
