Feature,Feature.Systematic.Name,t7.8,t10.7,t14,t17.8,t22,t26.8,t32.2,t38.4,t45.4,t53.3,t62.2,t72.3,p7.8,p10.7,p14,p17.8,p22,p26.8,p32.2,p38.4,p45.4,p53.3,p62.2,p72.3,p7.8/t7.8,p10.7/t10.7,p14/t14,p17/8/t17.9,p22/t22,p26.8/t26.8,p32.2/t32.2,p38.4/t38/4,p45.5/t45.4,p53.3/t53/3,p62.2/t62.2,p72.3/t72.3,min p/t,max p/t,range p/t,max p/t / min p/t,,,buds
YBL036C,YBL036C,82.84,83.28,83.89,84.65,86.40,87.36,86.62,80.23,78.65,81.44,88.98,104.13,65.26,65.22,63.60,59.88,52.38,40.34,30.15,22.78,26.59,26.46,27.66,29.95,0.79,0.78,0.76,0.71,0.61,0.46,0.35,0.28,0.34,0.32,0.31,0.29,0.28,0.79,0.50,2.77,,,32.75
SNF1,YDR477W,43.01,42.44,42.02,41.75,42.11,41.81,42.10,45.88,42.34,38.31,32.99,27.09,16.82,17.15,17.76,18.85,20.95,22.30,22.70,22.45,20.95,20.00,19.87,21.32,0.39,0.40,0.42,0.45,0.50,0.53,0.54,0.49,0.49,0.52,0.60,0.79,0.39,0.79,0.40,2.01,,,32.63
YER156C,YER156C,158.29,159.37,159.53,158.83,155.92,153.14,148.29,136.17,142.09,143.61,142.93,135.37,94.48,93.67,92.61,90.96,87.68,88.74,89.37,89.53,86.47,82.59,79.86,80.37,0.60,0.59,0.58,0.57,0.56,0.58,0.60,0.66,0.61,0.58,0.56,0.59,0.56,0.66,0.10,1.18,,,32.60
ZRC1,YMR243C,190.41,189.44,187.79,185.42,181.54,177.56,173.10,167.38,166.48,167.36,171.17,178.76,61.61,61.98,62.30,62.65,62.96,62.10,62.42,62.17,60.64,60.10,59.02,56.96,0.32,0.33,0.33,0.34,0.35,0.35,0.36,0.37,0.36,0.36,0.34,0.32,0.32,0.37,0.05,1.17,,,32.60
BNA4,YBL098W,32.50,33.08,33.96,34.94,37.02,37.13,36.95,36.54,37.68,38.14,37.93,36.12,33.56,34.02,34.12,33.86,32.89,29.48,27.79,26.37,26.56,24.04,20.29,14.68,1.03,1.03,1.00,0.97,0.89,0.79,0.75,0.72,0.70,0.63,0.53,0.41,0.41,1.03,0.63,2.54,,,32.60
LHS1,YKL073W,18.80,18.76,18.68,18.64,18.42,18.81,19.24,19.61,19.83,19.88,19.76,19.51,55.16,54.83,54.38,53.61,52.00,52.44,52.30,51.53,47.76,43.36,39.56,37.72,2.93,2.92,2.91,2.88,2.82,2.79,2.72,2.63,2.41,2.18,2.00,1.93,1.93,2.93,1.00,1.52,,,32.60
MRP21,YBL090W,45.22,46.05,46.79,47.11,47.68,45.43,42.42,38.83,38.04,38.16,39.96,44.02,13.67,13.86,13.88,13.73,13.30,11.47,10.90,10.48,10.69,10.21,9.58,8.68,0.30,0.30,0.30,0.29,0.28,0.25,0.26,0.27,0.28,0.27,0.24,0.20,0.20,0.30,0.11,1.53,,,32.49
TMA46,YOR091W,90.44,90.48,89.58,88.20,83.74,83.07,82.31,80.35,82.34,81.42,78.56,72.41,55.14,54.76,54.44,54.10,53.81,55.46,55.10,53.60,49.63,47.92,47.94,51.28,0.61,0.61,0.61,0.61,0.64,0.67,0.67,0.67,0.60,0.59,0.61,0.71,0.59,0.71,0.12,1.20,,,32.40
TRP4,YDR354W,89.30,87.06,84.02,80.58,74.46,71.97,71.63,76.35,79.20,81.05,82.65,83.43,60.15,59.50,58.26,56.04,51.53,48.86,45.87,43.41,41.82,38.36,35.22,33.10,0.67,0.68,0.69,0.70,0.69,0.68,0.64,0.57,0.53,0.47,0.43,0.40,0.40,0.70,0.30,1.75,,,32.40
TKL1,YPR074C,476.14,471.55,464.05,455.28,436.32,431.97,432.11,446.91,433.45,407.60,368.01,313.54,2558.43,2561.53,2581.82,2628.19,2732.23,2821.57,2891.45,2930.53,2871.90,2888.08,2916.84,2963.38,5.37,5.43,5.56,5.77,6.26,6.53,6.69,6.56,6.63,7.09,7.93,9.45,5.37,9.45,4.08,1.76,,,32.27
PUF4,YGL014W,34.25,33.74,32.89,31.93,29.99,29.53,29.22,29.04,29.24,29.02,28.66,28.19,21.41,21.63,22.04,22.75,24.06,25.42,26.05,26.67,27.59,27.59,26.40,23.38,0.63,0.64,0.67,0.71,0.80,0.86,0.89,0.92,0.94,0.95,0.92,0.83,0.63,0.95,0.33,1.52,,,32.26
TIP41,YPR040W,24.16,25.58,27.56,30.19,34.41,38.06,41.49,44.37,47.27,47.29,44.04,35.77,12.46,12.45,12.39,12.33,12.51,11.02,11.55,12.54,14.70,14.96,12.62,5.88,0.52,0.49,0.45,0.41,0.36,0.29,0.28,0.28,0.31,0.32,0.29,0.16,0.16,0.52,0.35,3.14,,,32.24
URA5,YML106W,329.62,328.05,325.82,323.48,318.88,318.84,319.44,319.55,321.55,322.17,321.86,319.76,191.25,195.04,200.27,207.78,218.60,232.42,238.78,239.29,224.77,211.26,204.28,212.99,0.58,0.59,0.61,0.64,0.69,0.73,0.75,0.75,0.70,0.66,0.63,0.67,0.58,0.75,0.17,1.29,,,32.20
ORM1,YGR038W,48.87,48.11,47.45,46.89,46.71,46.45,46.97,50.06,49.37,48.07,45.94,43.00,10.63,10.76,10.88,11.07,11.39,11.11,11.07,10.78,10.33,10.06,9.65,8.98,0.22,0.22,0.23,0.24,0.24,0.24,0.24,0.22,0.21,0.21,0.21,0.21,0.21,0.24,0.03,1.17,,,32.20
