Feature,Feature.Systematic.Name,t7.8,t10.7,t14,t17.8,t22,t26.8,t32.2,t38.4,t45.4,t53.3,t62.2,t72.3,p7.8,p10.7,p14,p17.8,p22,p26.8,p32.2,p38.4,p45.4,p53.3,p62.2,p72.3,p7.8/t7.8,p10.7/t10.7,p14/t14,p17/8/t17.9,p22/t22,p26.8/t26.8,p32.2/t32.2,p38.4/t38/4,p45.5/t45.4,p53.3/t53/3,p62.2/t62.2,p72.3/t72.3,min p/t,max p/t,range p/t,max p/t / min p/t,,,buds
TRM82,YDR165W,83.96,83.90,83.31,82.38,79.79,78.70,77.95,78.42,79.49,78.10,74.80,68.40,31.41,31.74,32.36,33.41,35.11,37.95,39.26,39.74,38.15,37.72,38.52,41.81,0.37,0.38,0.39,0.41,0.44,0.48,0.50,0.51,0.48,0.48,0.51,0.61,0.37,0.61,0.24,1.63,,,27.40
ECM25,YJL201W,20.02,19.94,19.70,19.32,18.39,17.77,17.44,18.14,18.46,18.39,18.11,17.50,0.58,0.62,0.69,0.80,0.98,1.28,1.41,1.45,1.30,1.26,1.33,1.63,0.03,0.03,0.03,0.04,0.05,0.07,0.08,0.08,0.07,0.07,0.07,0.09,0.03,0.09,0.06,3.23,,,27.40
POM152,YMR129W,17.60,17.50,17.29,17.04,16.41,16.29,16.20,16.13,16.08,16.31,16.92,18.23,8.07,8.24,8.47,8.84,9.41,9.83,9.97,9.95,9.61,9.58,9.40,8.98,0.46,0.47,0.49,0.52,0.57,0.60,0.62,0.62,0.60,0.59,0.56,0.49,0.46,0.62,0.16,1.35,,,27.40
MRPL35,YDR322W,33.05,32.76,32.40,32.04,31.59,31.47,30.58,27.35,25.00,23.28,21.91,21.32,11.24,11.49,11.75,12.11,12.60,12.08,12.39,12.76,13.22,13.84,14.17,13.85,0.34,0.35,0.36,0.38,0.40,0.38,0.41,0.47,0.53,0.59,0.65,0.65,0.34,0.65,0.31,1.91,,,27.38
FET5,YFL041W,30.55,31.54,32.97,34.63,37.76,38.72,38.96,37.99,38.10,37.31,35.27,31.04,27.88,27.53,27.11,26.60,26.12,24.87,23.93,22.92,21.98,21.64,21.27,20.56,0.91,0.87,0.82,0.77,0.69,0.64,0.61,0.60,0.58,0.58,0.60,0.66,0.58,0.91,0.34,1.58,,,27.32
BCH1,YMR237W,30.42,29.04,27.45,25.84,23.60,22.91,23.31,26.44,25.41,24.18,22.65,21.31,28.38,28.91,29.55,30.44,31.69,32.58,32.38,32.93,37.04,38.64,38.18,34.18,0.93,1.00,1.08,1.18,1.34,1.42,1.39,1.25,1.46,1.60,1.69,1.60,0.93,1.69,0.75,1.81,,,27.28
ADH6,YMR318C,227.74,230.97,234.46,242.35,246.38,281.34,311.67,305.58,330.49,349.12,359.69,356.56,378.89,385.96,393.44,402.30,411.12,416.90,422.13,424.23,418.42,398.52,380.65,372.62,1.66,1.67,1.68,1.66,1.67,1.48,1.35,1.39,1.27,1.14,1.06,1.05,1.05,1.68,0.63,1.61,,,27.24
AVT7,YIL088C,106.71,105.30,103.92,102.09,101.15,96.63,91.92,88.62,82.45,80.27,81.94,89.93,19.32,19.44,19.58,19.83,20.32,20.01,20.20,20.23,19.87,20.30,20.87,21.48,0.18,0.18,0.19,0.19,0.20,0.21,0.22,0.23,0.24,0.25,0.25,0.24,0.18,0.25,0.07,1.41,,,27.20
TMA20,YER007C-A,231.91,231.92,231.26,230.28,226.84,226.20,227.26,233.24,237.33,235.83,229.63,216.00,137.24,131.65,125.47,117.03,104.96,109.58,109.29,110.39,107.71,100.93,105.94,134.37,0.59,0.57,0.54,0.51,0.46,0.48,0.48,0.47,0.45,0.43,0.46,0.62,0.43,0.62,0.19,1.45,,,27.20
PFK1,YGR240C,377.81,372.13,364.68,356.47,341.81,337.31,337.38,348.24,348.00,339.40,322.02,291.37,3344.27,3384.05,3459.16,3591.98,3844.72,4037.88,4147.71,4204.56,4176.83,4232.87,4247.42,4184.18,8.85,9.09,9.49,10.08,11.25,11.97,12.29,12.07,12.00,12.47,13.19,14.36,8.85,14.36,5.51,1.62,,,27.14
GRX3,YDR098C,77.77,77.48,76.65,75.62,73.63,72.55,70.96,67.58,70.70,71.33,70.73,67.18,38.08,34.82,30.72,24.68,15.04,11.87,12.00,15.98,24.65,29.30,30.17,24.16,0.49,0.45,0.40,0.33,0.20,0.16,0.17,0.24,0.35,0.41,0.43,0.36,0.16,0.49,0.33,2.99,,,27.13
DDP1,YOR163W,57.05,57.35,58.35,59.71,63.53,64.30,64.11,61.77,59.20,60.22,64.15,72.87,37.71,38.27,38.47,38.42,38.31,33.54,29.11,23.95,20.14,15.50,10.61,5.22,0.66,0.67,0.66,0.64,0.60,0.52,0.45,0.39,0.34,0.26,0.17,0.07,0.07,0.67,0.60,9.31,,,27.11
DJP1,YIR004W,49.68,49.60,49.90,50.59,52.63,54.05,54.88,53.91,52.03,51.88,52.86,56.17,9.48,9.64,9.74,9.84,9.87,9.39,9.45,9.53,9.73,9.51,9.35,9.39,0.19,0.19,0.20,0.19,0.19,0.17,0.17,0.18,0.19,0.18,0.18,0.17,0.17,0.20,0.03,1.17,,,27.10
CAN1,YEL063C,359.34,356.85,353.96,350.90,347.42,345.77,342.40,329.85,329.69,336.72,352.15,379.05,57.02,56.45,55.76,54.87,53.83,52.51,51.53,50.32,48.14,46.62,46.25,47.86,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.13,0.13,0.13,0.16,0.03,1.26,,,27.08
BRE5,YNR051C,130.41,128.44,125.63,122.24,116.33,112.87,110.08,108.91,108.36,110.32,115.50,125.50,11.76,11.31,10.88,10.48,10.25,10.00,9.95,9.81,8.64,7.72,7.28,7.71,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.07,0.06,0.06,0.06,0.09,0.03,1.47,,,27.07
TGL3,YMR313C,21.89,21.65,21.58,21.63,22.43,22.21,22.71,26.23,26.33,25.20,22.79,18.79,3.03,3.20,3.42,3.75,4.20,4.73,4.92,5.00,5.01,5.15,4.91,4.03,0.14,0.15,0.16,0.17,0.19,0.21,0.22,0.19,0.19,0.20,0.22,0.21,0.14,0.22,0.08,1.56,,,27.04
STE2,YFL026W,720.35,712.18,700.62,685.85,661.80,642.98,627.54,624.61,603.96,592.55,592.21,613.23,32.85,33.01,33.25,33.70,34.69,34.44,34.24,33.32,30.57,29.80,30.29,32.71,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.01,1.20,,,27.00
MAP1,YLR244C,218.11,216.85,213.92,210.21,200.53,198.51,201.65,217.60,231.94,233.02,223.69,196.68,281.28,294.88,298.50,290.66,253.36,175.29,131.67,99.91,107.79,110.59,119.53,130.15,1.29,1.36,1.40,1.38,1.26,0.88,0.65,0.46,0.46,0.47,0.53,0.66,0.46,1.40,0.94,3.04,,,27.00
MRPL17,YNL252C,32.99,33.02,32.97,32.62,32.53,30.32,27.46,23.79,22.75,21.18,19.33,16.41,4.61,4.65,4.72,4.83,5.00,5.28,5.52,5.63,5.20,4.70,4.16,3.71,0.14,0.14,0.14,0.15,0.15,0.17,0.20,0.24,0.23,0.22,0.22,0.23,0.14,0.24,0.10,1.69,,,26.97
SSE1,YPL106C,428.93,417.55,400.77,383.09,349.20,352.97,354.09,323.19,320.56,302.75,273.68,227.87,2032.45,2037.38,2055.89,2093.09,2163.89,2264.26,2362.17,2444.95,2429.50,2444.81,2497.65,2626.11,4.74,4.88,5.13,5.46,6.20,6.41,6.67,7.57,7.58,8.08,9.13,11.52,4.74,11.52,6.79,2.43,,,26.96
CAM1,YPL048W,253.86,254.22,255.97,258.29,265.52,265.12,265.37,272.90,264.67,261.74,262.41,271.72,757.53,763.62,775.93,798.17,840.60,873.52,910.05,936.30,927.96,959.46,997.00,1039.71,2.98,3.00,3.03,3.09,3.17,3.29,3.43,3.43,3.51,3.67,3.80,3.83,2.98,3.83,0.84,1.28,,,26.96
PMR1,YGL167C,37.02,36.79,36.71,37.03,37.62,39.37,42.03,47.67,48.54,46.92,42.25,33.56,39.12,40.20,41.96,44.57,48.19,56.20,58.09,58.49,57.92,61.99,67.26,74.32,1.06,1.09,1.14,1.20,1.28,1.43,1.38,1.23,1.19,1.32,1.59,2.21,1.06,2.21,1.16,2.10,,,26.91
FAA4,YMR246W,208.28,207.04,205.70,203.76,202.78,197.71,192.44,185.57,193.63,193.48,186.96,165.47,111.21,114.89,120.32,128.80,143.03,153.87,158.27,160.99,165.02,173.05,177.61,175.43,0.53,0.55,0.58,0.63,0.71,0.78,0.82,0.87,0.85,0.89,0.95,1.06,0.53,1.06,0.53,1.99,,,26.80
NUT1,YGL151W,12.07,11.48,10.74,9.95,8.62,8.24,8.35,9.70,9.10,8.79,8.75,9.49,1.28,1.30,1.35,1.42,1.55,1.68,1.83,1.95,1.96,1.86,1.70,1.45,0.11,0.11,0.13,0.14,0.18,0.20,0.22,0.20,0.22,0.21,0.19,0.15,0.11,0.22,0.11,2.07,,,26.80
MNN2,YBR015C,79.44,80.57,81.95,83.88,86.43,89.81,92.77,94.76,95.89,94.66,90.59,82.79,16.78,16.75,16.45,16.02,15.50,11.46,8.70,6.83,9.03,9.75,8.99,5.00,0.21,0.21,0.20,0.19,0.18,0.13,0.09,0.07,0.09,0.10,0.10,0.06,0.06,0.21,0.15,3.49,,,26.78
VPS4,YPR173C,96.16,96.00,95.49,94.69,92.89,91.90,90.06,85.19,84.24,87.22,94.69,109.05,27.06,24.98,22.50,19.24,14.84,11.87,9.56,8.02,6.77,5.25,3.65,1.69,0.28,0.26,0.24,0.20,0.16,0.13,0.11,0.09,0.08,0.06,0.04,0.02,0.02,0.28,0.27,18.13,,,26.75
VNX1,YNL321W,15.62,14.66,13.53,12.32,10.69,9.51,9.37,12.35,13.61,13.88,13.41,11.59,1.73,1.72,1.73,1.77,1.88,2.02,1.84,1.73,2.12,2.85,3.52,3.93,0.11,0.12,0.13,0.14,0.18,0.21,0.20,0.14,0.16,0.20,0.26,0.34,0.11,0.34,0.23,3.06,,,26.72
TDH2,YJR009C,5833.52,5791.47,5745.08,5693.01,5625.81,5568.14,5546.84,5649.23,5573.87,5516.19,5467.05,5453.61,866.62,866.79,860.48,843.60,791.15,794.79,795.16,808.03,836.67,776.26,709.80,661.40,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.15,0.14,0.13,0.12,0.12,0.15,0.03,1.24,,,26.69
HHT1,YBR010W,1612.12,1606.07,1602.74,1596.01,1602.35,1567.45,1526.82,1481.54,1453.73,1463.68,1509.72,1601.53,528.41,531.89,537.32,545.95,559.27,570.73,600.96,625.52,615.41,613.34,615.08,626.90,0.33,0.33,0.34,0.34,0.35,0.36,0.39,0.42,0.42,0.42,0.41,0.39,0.33,0.42,0.10,1.29,,,26.64
DAL2,YIR029W,47.66,49.07,50.90,52.91,55.98,57.17,58.42,60.60,63.59,65.55,66.52,65.39,36.94,35.93,34.90,33.74,32.62,33.31,31.31,28.47,24.98,26.16,31.40,42.97,0.78,0.73,0.69,0.64,0.58,0.58,0.54,0.47,0.39,0.40,0.47,0.66,0.39,0.78,0.38,1.97,,,26.60
GIP3,YPL137C,16.86,16.48,15.89,15.45,14.02,15.25,17.46,21.79,23.71,24.50,24.29,23.05,6.76,6.61,6.51,6.42,6.26,7.15,8.07,8.82,8.30,8.07,8.18,9.09,0.40,0.40,0.41,0.42,0.45,0.47,0.46,0.40,0.35,0.33,0.34,0.39,0.33,0.47,0.14,1.42,,,26.60
APL5,YPL195W,19.91,19.57,19.25,19.02,18.86,19.09,19.36,19.54,19.03,18.85,18.81,19.18,14.37,14.24,14.22,14.36,14.95,15.57,15.71,15.55,14.71,14.63,14.83,15.46,0.72,0.73,0.74,0.76,0.79,0.82,0.81,0.80,0.77,0.78,0.79,0.81,0.72,0.82,0.09,1.13,,,26.60
LYS12,YIL094C,641.31,640.38,638.26,635.58,627.84,626.67,628.04,636.85,637.49,636.65,634.30,630.86,1143.79,1150.14,1158.69,1172.02,1193.98,1212.68,1205.36,1174.35,1100.05,1022.69,971.05,979.09,1.78,1.80,1.82,1.84,1.90,1.94,1.92,1.84,1.73,1.61,1.53,1.55,1.53,1.94,0.40,1.26,,,26.59
HHO1,YPL127C,102.89,107.09,113.45,120.17,135.18,134.03,127.39,112.33,101.68,98.62,101.32,112.81,97.22,96.54,96.21,96.32,97.91,99.30,101.48,102.37,97.69,93.13,88.57,85.00,0.94,0.90,0.85,0.80,0.72,0.74,0.80,0.91,0.96,0.94,0.87,0.75,0.72,0.96,0.24,1.33,,,26.57
VIP1,YLR410W,35.40,35.41,35.37,35.29,35.05,35.01,34.84,34.22,34.30,33.87,33.03,31.48,56.24,57.20,58.61,60.83,64.43,67.42,67.95,67.05,64.29,64.31,65.45,68.42,1.59,1.62,1.66,1.72,1.84,1.93,1.95,1.96,1.87,1.90,1.98,2.17,1.59,2.17,0.58,1.37,,,26.56
ARO4,YBR249C,791.19,788.60,784.75,780.57,772.43,770.92,769.87,765.05,778.50,785.41,787.75,777.89,1656.21,1628.39,1583.33,1504.30,1342.80,1307.08,1299.31,1323.34,1349.02,1270.67,1195.73,1158.34,2.09,2.06,2.02,1.93,1.74,1.70,1.69,1.73,1.73,1.62,1.52,1.49,1.49,2.09,0.60,1.41,,,26.53
DID2,YKR035W-A,87.09,89.69,93.93,98.67,109.06,110.00,108.17,99.83,102.22,101.70,97.32,83.48,29.37,28.13,26.99,25.65,24.14,25.74,29.92,35.63,42.20,41.14,31.97,10.00,0.34,0.31,0.29,0.26,0.22,0.23,0.28,0.36,0.41,0.40,0.33,0.12,0.12,0.41,0.29,3.44,,,26.49
EMP47,YFL048C,58.04,58.09,58.32,58.62,59.83,59.68,59.08,57.63,56.42,54.71,52.40,49.21,38.06,36.35,34.19,30.89,25.30,25.09,23.33,22.57,22.61,21.92,22.16,24.17,0.66,0.63,0.59,0.53,0.42,0.42,0.39,0.39,0.40,0.40,0.42,0.49,0.39,0.66,0.26,1.67,,,26.47
SFT2,YBL102W,84.87,85.18,86.11,87.44,90.59,91.78,92.53,94.75,85.81,82.11,81.86,90.10,23.35,23.27,23.18,23.12,23.21,22.38,23.82,25.60,26.76,26.53,25.41,23.02,0.28,0.27,0.27,0.26,0.26,0.24,0.26,0.27,0.31,0.32,0.31,0.26,0.24,0.32,0.08,1.33,,,26.44
REE1,YJL217W,45.02,46.40,48.20,50.45,53.46,56.83,59.73,61.57,57.68,66.34,87.34,130.54,43.50,43.92,44.09,44.03,43.59,40.42,38.50,36.89,36.02,36.84,40.93,49.94,0.97,0.95,0.91,0.87,0.82,0.71,0.64,0.60,0.62,0.56,0.47,0.38,0.38,0.97,0.58,2.53,,,26.40
ERG2,YMR202W,235.31,238.45,242.08,246.97,252.30,261.49,268.35,265.19,276.70,286.05,293.09,294.33,266.20,270.44,275.96,283.79,294.79,304.24,316.26,325.49,322.85,326.10,338.06,366.17,1.13,1.13,1.14,1.15,1.17,1.16,1.18,1.23,1.17,1.14,1.15,1.24,1.13,1.24,0.11,1.10,,,26.40
YKR018C,YKR018C,46.55,47.45,49.33,51.69,57.54,58.42,57.70,55.43,48.56,44.25,40.87,40.33,18.61,18.85,19.45,20.59,22.75,24.91,28.23,31.40,32.38,30.85,26.77,19.29,0.40,0.40,0.39,0.40,0.40,0.43,0.49,0.57,0.67,0.70,0.66,0.48,0.39,0.70,0.30,1.77,,,26.40
PNP1,YLR209C,61.63,62.51,63.43,64.00,65.17,62.89,59.90,56.82,56.56,57.77,61.11,67.15,47.16,48.66,50.36,52.59,55.36,56.07,56.48,57.60,63.05,68.80,71.78,68.91,0.77,0.78,0.79,0.82,0.85,0.89,0.94,1.01,1.11,1.19,1.17,1.03,0.77,1.19,0.43,1.56,,,26.40
PPA2,YMR267W,32.74,31.55,30.37,29.24,28.15,27.81,27.42,26.64,22.86,21.25,21.14,24.15,4.84,4.42,3.88,3.08,1.70,1.44,1.59,2.05,2.12,1.93,1.77,1.76,0.15,0.14,0.13,0.11,0.06,0.05,0.06,0.08,0.09,0.09,0.08,0.07,0.05,0.15,0.10,2.85,,,26.36
KEL3,YPL263C,51.19,50.96,50.27,49.30,46.82,45.80,45.73,48.69,50.83,48.79,43.05,31.31,16.86,16.78,17.67,19.79,24.59,32.71,34.23,33.09,25.77,22.49,21.42,25.00,0.33,0.33,0.35,0.40,0.53,0.71,0.75,0.68,0.51,0.46,0.50,0.80,0.33,0.80,0.47,2.43,,,26.32
MET6,YER091C,2085.53,2043.97,1990.47,1930.98,1833.61,1792.33,1778.24,1825.94,1820.92,1799.19,1764.79,1711.92,65342.80,65370.82,65410.10,65482.22,65641.19,65497.18,65526.95,65212.38,63855.53,63036.90,62528.62,62602.54,31.33,31.98,32.86,33.91,35.80,36.54,36.85,35.71,35.07,35.04,35.43,36.57,31.33,36.85,5.52,1.18,,,26.32
AAT1,YKL106W,47.76,48.08,48.35,48.42,48.50,47.45,46.59,46.45,48.99,51.24,53.94,56.47,6.87,7.00,7.17,7.39,7.71,8.02,8.03,7.73,6.78,5.70,4.65,3.93,0.14,0.15,0.15,0.15,0.16,0.17,0.17,0.17,0.14,0.11,0.09,0.07,0.07,0.17,0.10,2.47,,,26.21
ERG3,YLR056W,221.82,225.59,229.87,235.59,241.27,252.32,264.66,280.45,288.73,283.78,264.55,225.27,67.06,67.69,68.84,70.88,74.86,77.65,77.81,76.45,73.21,72.70,72.74,73.57,0.30,0.30,0.30,0.30,0.31,0.31,0.29,0.27,0.25,0.26,0.27,0.33,0.25,0.33,0.07,1.29,,,26.20
MET2,YNL277W,29.96,25.45,20.52,16.84,10.48,16.74,28.40,49.92,57.81,57.83,49.02,28.11,26.07,26.65,27.44,28.64,30.59,31.37,32.35,32.70,31.17,31.29,32.45,35.30,0.87,1.05,1.34,1.70,2.92,1.87,1.14,0.66,0.54,0.54,0.66,1.26,0.54,2.92,2.38,5.42,,,26.20
ADE6,YGR061C,184.82,183.35,181.45,179.30,175.71,174.37,172.89,170.39,165.57,162.86,161.80,164.24,1457.52,1465.88,1480.29,1505.32,1552.31,1579.18,1602.63,1614.07,1595.44,1612.05,1649.53,1718.70,7.89,8.00,8.16,8.40,8.83,9.06,9.27,9.47,9.64,9.90,10.19,10.46,7.89,10.46,2.58,1.33,,,26.20
TGL1,YKL140W,25.81,24.22,22.55,20.85,19.18,17.69,17.06,19.09,17.31,15.16,12.35,8.81,12.16,13.11,14.34,16.22,19.51,19.64,18.11,15.29,11.78,10.49,9.80,9.69,0.47,0.54,0.64,0.78,1.02,1.11,1.06,0.80,0.68,0.69,0.79,1.10,0.47,1.11,0.64,2.36,,,26.20
FAR8,YMR029C,25.02,25.67,26.53,27.25,29.07,27.74,25.93,24.81,22.26,20.65,19.95,21.03,6.23,6.56,7.02,7.70,8.67,9.60,10.73,11.19,8.88,7.47,6.90,8.10,0.25,0.26,0.26,0.28,0.30,0.35,0.41,0.45,0.40,0.36,0.35,0.39,0.25,0.45,0.20,1.81,,,26.20
CRZ1,YNL027W,21.10,21.20,21.40,21.72,22.58,22.90,23.46,25.22,25.61,25.97,26.53,27.81,2.04,2.10,2.10,2.00,1.69,1.16,1.01,0.99,1.26,1.18,0.91,0.32,0.10,0.10,0.10,0.09,0.08,0.05,0.04,0.04,0.05,0.05,0.03,0.01,0.01,0.10,0.09,8.65,,,26.20
ARO8,YGL202W,623.23,619.62,614.93,609.27,600.54,594.11,588.84,585.49,585.00,587.42,593.83,604.94,1846.04,1856.71,1854.64,1834.81,1771.25,1710.55,1614.31,1510.76,1443.86,1376.31,1329.88,1321.81,2.96,3.00,3.02,3.01,2.95,2.88,2.74,2.58,2.47,2.34,2.24,2.19,2.19,3.02,0.83,1.38,,,26.14
GDH1,YOR375C,870.24,875.64,880.49,884.29,884.99,880.75,884.14,916.66,950.61,963.80,961.06,927.46,7840.40,7896.63,7932.11,7958.02,7958.49,7733.93,7457.05,7085.79,6682.40,6546.99,6585.05,6875.39,9.01,9.02,9.01,9.00,8.99,8.78,8.43,7.73,7.03,6.79,6.85,7.41,6.79,9.02,2.23,1.33,,,26.13
PYC2,YBR218C,137.07,135.67,134.32,132.95,131.75,130.43,130.13,133.29,131.09,129.85,129.13,129.84,175.56,177.71,180.62,184.75,190.95,198.56,194.12,184.76,171.04,166.04,167.29,179.35,1.28,1.31,1.34,1.39,1.45,1.52,1.49,1.39,1.30,1.28,1.30,1.38,1.28,1.52,0.24,1.19,,,26.09
SSP120,YLR250W,76.74,77.64,79.82,82.30,90.46,89.13,84.01,70.95,62.34,59.82,62.40,72.85,98.51,98.47,95.31,85.17,63.13,54.74,52.37,57.22,72.55,71.76,63.77,44.76,1.28,1.27,1.19,1.03,0.70,0.61,0.62,0.81,1.16,1.20,1.02,0.61,0.61,1.28,0.67,2.09,,,26.00
GGA2,YHR108W,60.87,59.31,57.19,54.87,50.75,49.65,49.37,50.58,49.96,49.37,49.03,49.47,82.88,80.45,79.43,79.91,84.28,96.99,102.20,103.83,93.01,86.48,86.72,100.98,1.36,1.36,1.39,1.46,1.66,1.95,2.07,2.05,1.86,1.75,1.77,2.04,1.36,2.07,0.71,1.53,,,26.00
STV1,YMR054W,29.39,29.78,30.42,31.25,33.00,33.48,34.07,36.07,35.75,34.06,30.75,25.33,11.40,11.40,11.47,11.64,12.10,12.27,12.20,11.90,11.55,11.36,11.45,11.97,0.39,0.38,0.38,0.37,0.37,0.37,0.36,0.33,0.32,0.33,0.37,0.47,0.32,0.47,0.15,1.46,,,26.00
MIR1,YJR077C,329.79,343.80,362.44,382.53,419.97,426.42,417.48,375.02,365.57,366.85,377.21,398.96,394.41,407.33,423.27,446.70,483.58,485.77,493.83,492.78,475.30,473.85,477.38,486.94,1.20,1.18,1.17,1.17,1.15,1.14,1.18,1.31,1.30,1.29,1.27,1.22,1.14,1.31,0.17,1.15,,,25.98
GCN20,YFR009W,89.94,88.87,87.28,85.43,81.84,80.92,79.93,77.45,76.50,76.37,77.22,79.54,77.29,78.35,80.09,82.72,86.34,93.79,98.13,100.58,96.31,97.48,102.83,115.93,0.86,0.88,0.92,0.97,1.06,1.16,1.23,1.30,1.26,1.28,1.33,1.46,0.86,1.46,0.60,1.70,,,25.97
KEL1,YHR158C,15.88,15.84,15.67,15.36,14.88,13.88,13.18,14.13,14.50,13.62,11.78,8.38,9.39,9.01,8.67,8.38,8.24,8.39,9.41,10.61,11.43,12.18,11.46,8.16,0.59,0.57,0.55,0.55,0.55,0.60,0.71,0.75,0.79,0.89,0.97,0.97,0.55,0.97,0.43,1.79,,,25.97
ERG5,YMR015C,53.61,53.26,52.46,51.44,48.94,48.49,48.52,49.41,50.57,50.93,51.09,51.10,39.44,39.08,38.81,38.51,37.93,40.20,41.93,42.87,40.24,37.49,35.23,34.78,0.74,0.73,0.74,0.75,0.78,0.83,0.86,0.87,0.80,0.74,0.69,0.68,0.68,0.87,0.19,1.27,,,25.93
SST2,YLR452C,41.78,41.16,40.38,39.59,38.17,38.17,38.45,39.07,37.82,37.15,36.85,37.68,7.00,6.94,6.87,6.80,6.73,6.62,7.12,7.50,6.95,6.87,7.15,8.06,0.17,0.17,0.17,0.17,0.18,0.17,0.19,0.19,0.18,0.19,0.19,0.21,0.17,0.21,0.05,1.28,,,25.92
ADH3,YMR083W,477.01,473.21,466.90,459.39,443.14,438.02,439.84,463.02,464.86,456.06,437.91,408.37,874.33,881.66,890.20,902.03,916.44,929.49,938.97,936.39,905.17,882.59,895.45,975.86,1.83,1.86,1.91,1.96,2.07,2.12,2.13,2.02,1.95,1.94,2.04,2.39,1.83,2.39,0.56,1.30,,,25.91
YRO2,YBR054W,328.68,329.95,332.43,336.63,342.03,352.99,366.33,383.86,387.01,384.51,373.39,351.43,46.63,56.44,68.57,85.44,111.51,124.51,121.60,115.99,124.17,122.46,113.07,91.68,0.14,0.17,0.21,0.25,0.33,0.35,0.33,0.30,0.32,0.32,0.30,0.26,0.14,0.35,0.21,2.49,,,25.90
MRPL13,YKR006C,40.88,40.20,39.21,37.92,36.10,34.20,32.12,29.82,28.27,26.86,26.01,26.05,12.49,12.86,12.90,12.54,11.38,8.65,6.41,4.72,5.83,6.62,6.99,6.12,0.31,0.32,0.33,0.33,0.32,0.25,0.20,0.16,0.21,0.25,0.27,0.23,0.16,0.33,0.17,2.09,,,25.89
OST3,YOR085W,89.27,88.43,87.54,86.56,85.58,84.29,83.52,84.61,84.05,84.85,87.11,91.71,96.44,98.69,101.38,104.27,105.88,112.31,118.50,122.36,113.57,107.74,100.73,93.14,1.08,1.12,1.16,1.20,1.24,1.33,1.42,1.45,1.35,1.27,1.16,1.02,1.02,1.45,0.43,1.42,,,25.88
TPO1,YLL028W,72.85,72.36,71.82,71.29,70.35,70.51,71.49,74.57,73.83,74.54,76.67,81.89,2.13,2.08,2.09,2.18,2.46,2.71,2.85,2.92,2.83,2.72,2.38,1.64,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.03,0.02,0.02,0.04,0.02,1.99,,,25.88
REH1,YLR387C,43.14,41.41,39.43,37.55,35.12,34.78,34.80,34.59,35.10,35.36,35.42,34.91,10.33,10.71,11.03,11.35,11.59,10.88,10.70,10.53,10.77,10.78,10.23,8.68,0.24,0.26,0.28,0.30,0.33,0.31,0.31,0.30,0.31,0.30,0.29,0.25,0.24,0.33,0.09,1.38,,,25.83
SFA1,YDL168W,55.10,58.38,63.04,68.22,78.47,80.32,79.02,71.55,69.93,73.21,81.12,95.83,32.44,35.04,38.48,43.74,53.45,53.72,52.15,49.70,50.82,54.82,54.25,43.69,0.59,0.60,0.61,0.64,0.68,0.67,0.66,0.69,0.73,0.75,0.67,0.46,0.46,0.75,0.29,1.64,,,25.80
PTM1,YKL039W,53.36,50.64,47.60,44.39,40.21,37.98,37.24,40.22,37.55,34.94,31.93,28.82,3.38,3.47,3.56,3.66,3.78,3.61,3.73,3.81,3.63,3.64,3.66,3.64,0.06,0.07,0.07,0.08,0.09,0.09,0.10,0.09,0.10,0.10,0.11,0.13,0.06,0.13,0.06,2.00,,,25.80
IES3,YLR052W,64.00,63.44,62.61,61.39,59.66,57.42,54.53,49.92,47.36,45.04,43.05,41.23,4.69,5.05,5.40,5.71,5.68,6.00,6.94,8.07,8.96,9.02,8.74,8.16,0.07,0.08,0.09,0.09,0.10,0.10,0.13,0.16,0.19,0.20,0.20,0.20,0.07,0.20,0.13,2.77,,,25.80
TCB2,YNL087W,47.15,47.10,46.94,46.66,46.02,45.60,45.11,44.13,44.87,45.89,47.44,49.42,10.79,10.80,10.85,10.97,11.25,11.45,11.72,11.62,10.43,10.49,11.39,13.64,0.23,0.23,0.23,0.24,0.24,0.25,0.26,0.26,0.23,0.23,0.24,0.28,0.23,0.28,0.05,1.21,,,25.80
THI6,YPL214C,22.06,21.51,20.88,20.15,19.34,18.19,17.77,19.33,21.59,22.46,22.37,19.99,3.93,4.11,4.32,4.61,5.06,5.06,4.67,4.16,3.96,4.17,4.46,4.72,0.18,0.19,0.21,0.23,0.26,0.28,0.26,0.22,0.18,0.19,0.20,0.24,0.18,0.28,0.10,1.56,,,25.80
CEX1,YOR112W,16.86,16.48,16.00,15.46,14.65,14.16,13.94,14.62,14.21,13.66,13.01,12.39,20.33,20.72,21.33,22.31,23.86,24.87,28.80,32.77,33.81,33.01,30.91,27.38,1.21,1.26,1.33,1.44,1.63,1.76,2.07,2.24,2.38,2.42,2.38,2.21,1.21,2.42,1.21,2.00,,,25.80
