"ORF","Feature","AvgLife","Slope","GroupRank","H10.7","H14","H17.8","H22","H26.8","H32.2","H38.4","H45.4","H53.3","H62.2","H7.8","H72.3"
"YGR125W","YGR125W",21.2,0.438517686485941,11,0.147353564179951,0.16339733199931,0.19186021253355,0.242930615861492,0.344132261701621,0.38500855095001,0.391516384019142,0.316017602491893,0.259019162075772,0.231660746360984,0.141178517390461,0.270274790885176
"YPL031C","PHO85",12.5230769230769,0.447861444490835,11,0.122789993494767,0.149336981173896,0.191312430953418,0.254118913496037,0.33895709616782,0.387252576222438,0.383673185648105,0.338679227990336,0.296688675340238,0.251189289153144,0.10525376983906,0.220035807770746
"YOR171C","LCB4",29.1428571428571,0.448310975544129,11,0.169280822937807,0.166308485574974,0.164182651024873,0.163074101693149,0.169200122300222,0.173152823638529,0.168714030805559,0.147011750711551,0.139007464488564,0.169543712676377,0.173046041837225,0.290293555162939
"YOR230W","WTM1",23.6,0.448880431116543,11,6.15243412957906,6.34220959651849,6.45380335022716,6.41149141780963,6.21844573597726,5.84009560296811,5.31580084799664,5.74872103831397,6.01014733768789,6.80632008091606,5.94367983718906,7.78272973842914
"YLR401C","DUS3",18,0.454260227498408,11,0.545337428848903,0.5655081178981,0.592142421167574,0.648333937712649,0.67349489878644,0.660871651950436,0.655927713488248,0.6080030885973,0.592429715996934,0.602026537494136,0.532191430453591,0.65389091058416
"YDR121W","DPB4",23.7790697674419,0.460762731426737,11,0.0909988303557854,0.087927171910314,0.0854365037877356,0.0824920529122224,0.0829836253827719,0.0870742228684214,0.109766081678106,0.138972288714819,0.144271586130425,0.127778925388527,0.0941660129411081,0.0784330704422471
"YLR113W","HOG1",22.4767441860465,0.462818519820357,11,0.376137240918605,0.399937586946455,0.426261347212517,0.454440146505163,0.4729902816953,0.471165639447922,0.448371066946879,0.43131683839529,0.415207382858539,0.41853479244258,0.354780532875048,0.464718506478273
"YGR202C","PCT1",21.2,0.49126428624549,11,0.130194982531905,0.152473180105253,0.189038491930466,0.340758611947476,0.538939444545747,0.471413901631343,0.211843747949671,0.127842492279948,0.12789832057211,0.215155066212662,0.118631364892439,0.996993479061626
"YNL330C","RPD3",21.6630434782609,0.493237286412627,11,0.270430167785983,0.257305919505638,0.24424545219993,0.22946715743304,0.265206209484561,0.311237937920175,0.353464515149701,0.376255279996946,0.362706328159898,0.325359573151923,0.285385035162711,0.265869307672403
"YGR261C","APL6",23.28,0.493931463768288,11,0.235486106760255,0.23672591859836,0.239774428761666,0.256099400654617,0.241257164712061,0.310264966346151,0.418731273190701,0.669243524074752,0.739507214200455,0.591703032186771,0.236501328935502,0.15464986068932
"YNL087W","TCB2",25.8,0.496646988994732,11,0.229229189672955,0.231143176630847,0.235077920798964,0.2444659892996,0.251098492070318,0.259819935906439,0.263351039998425,0.232482424713548,0.22855843651833,0.240029139341805,0.228754070809336,0.27603273345342
"YFL044C","OTU1",22.8,0.501592593115428,11,0.605800724795766,0.638113726192529,0.674064729142654,0.707430754761392,0.705034487037643,0.686660381919715,0.647441664843241,0.693705395667988,0.712283131399701,0.706282238741354,0.574414695312379,0.65195552680065
"YDR465C","RMT2",30.5692307692308,0.506523626074318,11,0.329873554746916,0.322071190572895,0.312730936559714,0.304285741227375,0.309674633266126,0.310647061756393,0.302177268145795,0.296199523585632,0.30734301314022,0.34380976784503,0.339086052720383,0.469217437277984
"YBR054W","YRO2",25.8953488372093,0.510743170141265,11,0.171045300150317,0.206263342955372,0.253803051262238,0.326028831798397,0.352743540644445,0.331948601972633,0.302182408236556,0.320850433262752,0.31848920362898,0.302830563817818,0.141873022934913,0.260873142763207
"YBR025C","OLA1",21,0.511288708620165,11,3.17124820767879,3.27958395240326,3.39573300297328,3.53240065648157,3.61768399937351,3.65230540216261,3.66571005475276,3.41571912891525,3.23866855724167,3.32163778961952,3.07738498249604,3.92252317832213
"YOR136W","IDH2",15.1,0.51551117969935,11,4.31027291362946,4.55596263309156,4.83339823537091,5.17133985523007,5.34146024024709,5.30781531065595,4.89358746909588,4.93899169560672,4.93966576276267,4.97548547968716,4.09164260572144,5.06791116072579
"YGL115W","SNF4",22.3863636363636,0.515627448057018,11,0.295119083673359,0.324662088649345,0.377030376528273,0.466650367907641,0.640489167221086,0.75523383045374,0.811447957602818,0.713479889189529,0.618221357512288,0.529452157214242,0.281794731129447,0.498639027235726
"YFL047W","RGD2",19.4,0.519094171838068,11,0.239026625349868,0.257181978670488,0.284631173624754,0.331817515787755,0.364230505047277,0.36265384353921,0.328720199959848,0.287427119743248,0.301387008950488,0.318928738034864,0.22712458083023,0.337262608522926
"YML012W","ERV25",32.14,0.521038760312297,11,0.802208509993271,0.75742372629496,0.696706152487028,0.610651844259027,0.629271102459686,0.640193329641158,0.680160591545464,0.769505475550061,0.823525030670781,0.890568826291847,0.842073995802787,0.965080946091875
"YJL052W","TDH1",24.6,0.525224847007432,11,4.47470764837437,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.41787904031161,NA
"YJL052W","TDH1",24.6,0.525224847007432,12,NA,5.72092730976875,7.48048219890433,9.79572772070604,11.5313336733568,12.0530139174522,10.9915463256692,10.3839945867208,10.1297720440075,9.49005359977852,NA,8.36736986849591
"YLR312W-A","MRPL15",27.8620689655172,0.52936036691415,12,0.169596087051931,0.17561547541794,0.184355154205923,0.196258502240133,0.22286571647447,0.246905623968436,0.268891899730076,0.220630768548153,0.1940771025882,0.191057884650695,0.165403324923395,0.24672167625978
"YNL307C","MCK1",23.2,0.531676436272576,12,1.61095039146809,1.65385150013535,1.70810524339263,1.77149326747615,1.84899640210168,1.89444807051814,1.84264044800473,1.71098846567875,1.6964454397164,1.73857276330877,1.57643203054604,1.88859083836112
"YLR373C","VID22",13.5555555555556,0.53253505364319,12,0.364531075351175,0.380342563098093,0.404047247617955,0.445415557366476,0.493332607730404,0.471719973022238,0.410088355784681,0.381640907770842,0.391740982951304,0.432384739144144,0.354224828158062,0.531101865914186
"YBR221C","PDB1",11.0412371134021,0.532704027017016,12,1.33522868670399,1.35317865776409,1.37234596352195,1.36881424297552,1.43019610703709,1.45121234457169,1.43404358304475,1.39619607337131,1.34490295307554,1.35943992333618,1.31563154255969,1.49497445383165
"YDR155C","CPR1",29.5647058823529,0.533614499373986,12,3.11585298210358,3.38358708021945,3.67386226783813,3.9664476779397,3.5813269092928,3.1495972939533,2.91492941417363,3.7644987174284,4.11726789487738,4.1674936190263,2.82343981254451,3.59964007831225
"YHL011C","PRS3",28.2,0.53464059454924,12,0.319206613753524,0.310578008582189,0.301592988908721,0.29540257011383,0.297826652502012,0.309583899861738,0.326248232993847,0.303057312801798,0.296411566566954,0.325910210063652,0.329183984842735,0.436271653956452
"YDL189W","RBS1",33.08,0.5385770353497,12,0.101442410998103,0.104358193689757,0.110005415194239,0.121614488325893,0.145349828029036,0.17331801617753,0.200492352846266,0.19980019886298,0.179116792623398,0.150911879015875,0.101001403989978,0.125368572738146
"YPL139C","UME1",19,0.551529875352111,12,0.74157613843098,0.770926655893708,0.808779192781595,0.861355511829989,0.92363297007639,0.930488587975786,0.87338142494035,0.906557885706492,0.923107023124082,0.909801592913433,0.720446749143615,0.809580208434656
"YGL151W","NUT1",26.8,0.553560757091703,12,0.113535609523292,0.125542561131895,0.143065341709103,0.179769076139739,0.204018475320017,0.219487501426332,0.201557879289923,0.215047570932383,0.211985254080702,0.193889123960798,0.105845839753204,0.153004370359409
"YFL004W","VTC2",23.4,0.553953313635078,12,1.59918965737769,1.63424368233592,1.69250095897985,1.79007100644739,1.88929321495919,1.96238351574297,2.01211332101639,1.96711742867443,1.88666770991384,1.81455836573827,1.57723581794228,1.78510543965916
