"ORF","Feature","AvgLife","Slope","AntiProb","H10.7","H14","H17.8","H22","H26.8","H32.2","H38.4","H45.4","H53.3","H62.2","H7.8","H72.3"
"YER048C","CAJ1",22.8,-0.592384872955101,0,1.78561778906504,1.58436328754737,1.32179275039137,0.928986988524349,0.890390022906471,0.897734983422795,1.01670541052653,1.2327685194237,1.26420173250489,1.15002731402382,1.9502635829576,0.870820348993074
"YPR167C","MET16",29.8850574712644,-0.559243286758522,1,0.809351731142331,0.849705205150383,0.895258412664783,1.01773022777622,1.07177799774917,1.08207139168163,0.950090280409777,0.781291784487672,0.676167877443488,0.616325611434678,0.784625857888889,0.626042027042015
"YHR117W","TOM71",21.7692307692308,-0.550771737134007,0,1.8237127208002,1.8874894827049,1.96730337564723,2.12469949642372,2.04416964337137,1.97001703699513,1.86635211951077,1.87990089910165,1.83566116587315,1.73883913584333,1.77139209794585,1.55938366239363
"YCR028C-A","RIM1",23.5116279069767,-0.520551849815166,1,0.546475647230102,0.518134246928537,0.496790972506272,0.493571851662479,0.570864003898949,0.637491757269651,0.704276123969492,0.645894076506719,0.528214547314811,0.371167520241645,0.583190507330756,0.203077499542222
"YMR267W","PPA2",26.3555555555556,-0.517523142766806,0,0.139975788086329,0.127922791069255,0.105156309057233,0.0605556409311699,0.0518502193780019,0.058015885848739,0.0768929507983752,0.0929243400979832,0.0906466826522269,0.0835696595657176,0.147836535296953,0.0726956023742704
"YML035C","AMD1",28.0666666666667,-0.494466891626564,1,0.513356591577661,0.548267728265615,0.577505592081666,0.605752509659991,0.554381107926337,0.50172282483075,0.416126049546435,0.42308932190776,0.438957765435222,0.472796943107101,0.479522067744612,0.497329564841034
"YHR028C","DAP2",22,-0.490290173411542,0,0.22633344026425,0.230458656468723,0.237678121221547,0.246789456868369,0.251318397239132,0.236529703529026,0.210402395769325,0.194073043366293,0.189334146320014,0.198731907812824,0.221911059482522,0.231886112996365
"YPL262W","FUM1",30.2823529411765,-0.488530470976277,0,4.73394821359265,4.5964062741783,4.41276158752383,4.05936973310759,3.9819781764405,4.07539086734013,4.14222031991076,4.30470764460584,4.24077884605576,4.22137899011715,4.81926452614066,4.28261696233304
"YOR288C","MPD1",33.0888888888889,-0.449413947660147,1,0.942880188686094,1.06184408081724,1.20328090130186,1.37874499209171,1.41544705504082,1.31158958749134,1.08464635957615,1.06073593706999,0.958667280205241,0.821621676376347,0.839154906713196,0.669477442864263
"YDR500C","RPL37B",29.2790697674419,-0.436273488384569,1,0.0798796400910651,0.079197678923637,0.0787629262851025,0.0801109224285153,0.0765172795133444,0.0761945023407278,0.0779877719457222,0.0812793511446928,0.0818836471890525,0.0789701999460879,0.0806517256301569,0.0703371438518428
"YMR038C","CCS1",28.8,-0.433489413225932,0,0.962616876784621,0.918674801069025,0.84520238157324,0.737194877737903,0.616091263338081,0.490868062054385,0.412244450258358,0.425369141886271,0.464431213775554,0.609063662113336,0.99306365002595,0.934738181524437
"YPR024W","YME1",16.6923076923077,-0.427907048343713,0,0.40492538280725,0.349933531028424,0.278663912781956,0.180763200575822,0.174516784362096,0.155566104649152,0.142159823148613,0.141201181091536,0.164615158263792,0.214772730989578,0.452058051851279,0.334573506981203
"YNL277W","MET2",26.2,-0.371963333857286,0.5,1.04713384195386,1.33705632100176,1.70006529946346,2.91992450854966,1.87383104707127,1.138969906436,0.655161709972592,0.539129314553634,0.54105459739832,0.661980509836397,0.870058471696304,1.25587723243577
"YJR121W","ATP2",14.9894736842105,-0.353562124848524,0,8.13868042643134,8.01174983328412,7.78465993568724,7.08665868592341,6.81037628623559,6.79462141667341,6.79346264705126,7.81626247140557,8.02775285675187,7.7748259193998,8.12116805388117,6.64783068460101
