Name	RLS
aro10	"37,17,36,31,29,27,30,23,30,43,42,42,23,41,27,20,24,9,20,33,30,31,24,32,29,30,22,33,31,24,30,19,32,27,12,33,34,16,19,43,26,40,21,26,28,37,30,25,33,41,43,36,17,33,27,34,41,47,41,21,23,27,38,39,20,44,40,40,19,42,20,23,43,38,24,37,37,13,30,34,32,33,33,42,28,3"
aro2	"12,16,15,9,8"
aro3	"36,24,16,36,14"
aro4	"30,39,33,37,33,29,27,27,7,12,22,33,30,18,21"
aro7	"15,30,15,13,24"
aro8	"9,24,5,25,23,15,27,23,3,15,32,32,36,5,27,28,16,18,20,26,48,35,28,23,29,15,22,3,28,13,25,39,29,12,22,38,15,11,35,32,39,41,52,34,45,19,36,28,14,34,11,35,35,10,28,32,40,21,35,23,3,40,37,6,25,27,24,14,30,21,35,11,41,43,17,30,37,28,26,23,21,42,29,47,47,37,33,3"
aro80	"27,33,16,32,34"
aro9	"29,26,18,32,16,18,24,21,40,24,25,9,36,25,35,8,36,38,30,39,14,21,24,9,12,13,16,15,19,13,11,18,24,20,27,3,22,34,16,19,22,30,22,3,10,10,28,23,29,18,33,14,18,28,16,12,11,21,21,15,15,33,18,14,8,23,23,26,22,21,23,24,33,21,32,20,23,24,12,21,18,27,15,19,21"
arp1	"15,36,37,25,24,32,31,23,30,25,30,16,34,41,25,25,55,29,39,17,21,40,19,42,20,43,43,53,20,8,49,58,43,29,39,31,36,42,41,53,22,18,6,24,4,8,6,7,9,25,14,8,20,23,24,17,37,12,16,14"
arp5	"11,14,23,49,17"
arp6	"29,7,23,21,6"
arp8	"49,25,50,43,30,22,30,21,8,6,39,17,24,51,45,8,29,38,28,29,41,51,22,28,5"
arr1	"40,19,19,29,40,29,33,38,29,36,20,29,35,31,35,37,34,38,35,42,40,19,19,29,40,29,33,38,29,36,20,29,35,31,35,37,34,38,35,42,32,14,16,27,12,19,13,40,23,38,24,44,43,5,33,39,29,42,35,37,40,44,33,35,37,47,50,18,32,49,35,28,29,35,49,41,57,43,45,40,40,44,33,35,37,4"
arr2	"19,17,24,23,24,18,38,16,17,13,32,27,28,25,22,29,25,23,22,15,16,42,44,41,37"
arr3	"29,30,30,31,31,15,22,33,31,26,11,26,18,27,18,25,23,27,36,8,12,27,14,31,8"
art5	"13,18,19,14,36,31,27,13,26,17,33,26,30,18,41,20,26,10,46,19,43,47,40,31,22,13,18,19,14,36,31,27,13,26,17"
arv1	"18,27,30,34,41,44,24,31,34,32,29,27,34,13,39,18,28,30,25,37,28,20,59,35,49,32,34,28,25,11,12,30,18,25,20,27,8,24,18,23,25,24,17,19,22"
arx1	"23,31,21,18,41,18,16,23,10,18,17,33,42,33,34,31,14,23,25,23,28,20,20,23,24"
asc1	"28,17,25,27,9"
ase1	"51,30,25,32,20"
asf1	"5,4,5,11,23,11,12,7,4,8,17,6,6,12,11,9,10,4,10,10,14,4,8,6"
asf2	"14,30,14,23,41"
asg1	"35,27,27,22,36"
asg7	"15,30,20,17,25"
ash1	"19,23,12,13,22"
asi1	"18,35,47,44,16"
asi2	"25,30,18,17,35"
asi3	"24,38,31,40,42,26,36,19,38,32,26,34,7,25,24,38,22,24,34,20,29,11,28,14,39"
ask10	"34,26,19,28,27,22,10,22,26,23"
asm4	"41,33,42,34,26"
