ORF,H7.8,H10.7,H14,H17.8,H22,H26.8,H32.2,H38.4,H45.4,H53.3,H62.2,H72.3
YGR201C,43.86301625,47.57917024,51.9047224,57.79358103,65.437279,68.15075624,72.44689382,80.39369364,101.0307275,119.0016185,127.9834544,119.3834206
YGR202C,5.588038517,5.4219994,5.290579026,5.141936615,4.965803512,5.70341474,5.814915075,5.68302247,4.619661261,4.721309648,6.571806164,11.41448608
YGR203W,10.1069575,10.03813662,9.943408898,9.777175939,9.416261139,9.753999255,9.011468179,8.823678353,11.20393093,13.66573922,15.91941203,17.36576238
YGR204W,3418.287623,3449.804999,3504.024039,3595.924623,3762.534245,3902.552302,3946.451398,3943.913348,3875.49225,3863.181958,3880.119128,3952.742377
YGR205W,37.66060683,41.21686524,46.08849082,53.35869753,64.64215591,73.00477022,78.33334415,81.10903451,79.54475939,75.30391941,69.80435908,64.02624167
YGR209C,553.5895907,532.971763,511.2779257,477.9827119,411.6942001,442.2385774,500.0818828,618.9503735,787.4627242,931.2954098,1002.260912,929.9379473
YGR210C,25.49901645,25.04931549,24.79768404,24.75073348,25.02063457,27.50908193,28.1332986,28.25614484,27.36598985,27.11430134,27.45135076,29.14315701
YGR218W,287.3553111,291.7943855,299.5622859,311.9491607,332.1972739,364.1928522,372.7109086,370.6963903,348.6141222,338.6974019,336.1565646,350.4797381
YGR231C,126.6500409,129.9338429,133.5713817,138.3815979,144.4822947,145.739405,147.0141774,147.1456094,148.3864139,150.3053149,148.6666451,140.7742469
YGR234W,227.7042077,225.8001782,221.1600302,212.5398405,194.7056096,177.3864942,171.4558525,169.9144407,170.4591828,162.3703956,165.5265716,189.5188595
YGR235C,1.938560695,2.069266675,2.21952782,2.434665969,2.745073162,2.763369847,2.623888074,2.294744883,1.699278515,1.283089324,1.027264703,1.080935772
YGR240C,3344.274672,3384.054395,3459.160959,3591.981398,3844.718264,4037.881282,4147.707359,4204.555031,4176.832914,4232.870932,4247.419907,4184.176172
YGR244C,173.4752622,177.2226475,182.622918,190.6397838,202.1694295,218.058973,228.7869898,234.7188817,228.2593012,221.3160971,217.4549852,222.9026186
YGR245C,7.782141577,7.868952284,7.951539925,8.054123323,8.219954587,7.926652401,7.521402575,6.946685556,6.224829113,6.240279467,6.46804195,6.874409771
YGR248W,34.85179494,35.52368894,35.69082621,35.12064425,32.71585089,29.54573661,27.25206282,26.46154412,30.63870566,33.6418702,33.44682978,26.83954821
YGR250C,9.517961724,9.194906562,8.83880822,8.323890831,7.497414534,7.846338809,7.883559379,8.049382356,7.942707264,7.940499013,8.206278383,8.976873501
YGR253C,403.4736265,378.2923547,344.3786213,294.3455234,218.1120298,154.4998423,144.6446497,163.8437305,216.6788638,227.1659644,204.6415789,122.7159963
YGR254W,4016.410232,4345.710032,4633.337493,4926.9619,5153.96682,4646.092432,4207.925,4183.999393,6023.133198,7525.123234,8427.95797,7978.850304
YGR256W,18.99494599,20.85365382,23.44458308,27.36811387,33.45816407,36.98606441,39.07137613,41.13282293,44.92201743,50.10648548,49.76633617,38.89629628
YGR261C,6.114328557,5.892533795,5.669156938,5.437429592,5.31962441,4.686971591,5.747160185,7.89427002,12.0194685,13.17138869,11.02263472,3.271398081
YGR264C,431.4925736,422.0219798,414.8970633,409.9624486,412.1755529,427.6495458,444.0043056,459.1483693,456.9086389,454.0051693,450.0601399,446.898954
